Mês acidente ;Ign/Em Branco;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
Ign/Branco;19;-;-;-;-;-;-;-;-;-;-;-;-;19
Janeiro;-;23303;-;-;-;-;-;-;-;-;-;-;-;23303
Fevereiro;-;-;23946;-;-;-;-;-;-;-;-;-;-;23946
Marco;-;-;-;27706;-;-;-;-;-;-;-;-;-;27706
Abril;-;-;-;-;26013;-;-;-;-;-;-;-;-;26013
Maio;-;-;-;-;-;22750;-;-;-;-;-;-;-;22750
Junho;-;-;-;-;-;-;20621;-;-;-;-;-;-;20621
Julho;-;-;-;-;-;-;-;22533;-;-;-;-;-;22533
Agosto;-;-;-;-;-;-;-;-;23201;-;-;-;-;23201
Setembro;-;-;-;-;-;-;-;-;-;25667;-;-;-;25667
Outubro;-;-;-;-;-;-;-;-;-;-;29680;-;-;29680
Novembro;-;-;-;-;-;-;-;-;-;-;-;27204;-;27204
Dezembro;-;-;-;-;-;-;-;-;-;-;-;-;26178;26178
